"family","edge_lambda","edge_beta","Type"
"Icteridae",0.476086188701174,4.07681223073405,"Monophyletic"
"Icteridae",0.448988536996783,4.01197008716868,"Monophyletic"
"Icteridae",0.409265089009315,3.91267768763877,"Monophyletic"
"Icteridae",0.328800746999313,3.50815440948319,"Monophyletic"
"Icteridae",0.382669568605739,3.84224236086184,"Monophyletic"
"Icteridae",0.358431414444164,3.77496970253772,"Monophyletic"
"Icteridae",0.30714328860463,3.44630035394176,"Monophyletic"
"Icteridae",0.30714328860463,3.44260763586098,"Monophyletic"
"Icteridae",0.352274675767982,3.75623020627462,"Monophyletic"
"Icteridae",0.301649842120803,3.42475962487736,"Monophyletic"
"Icteridae",0.319814493230639,3.66052391138253,"Monophyletic"
"Icteridae",0.305110501914673,3.61741639398685,"Monophyletic"
"Icteridae",0.287571036736925,3.4121245875355,"Monophyletic"
